"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.01",1147.07688549176
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.025",1155.88944485507
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.05",1163.6113378821
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.1",1172.18890622625
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.15",1185.17910670299
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.2",1192.85038705953
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.25",1203.0585169392
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.3",1209.85486508788
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.35",1218.49537849327
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.4",1230.4866677998
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.45",1241.24211520353
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.5",1250.15825515739
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.55",1264.15149270491
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.6",1276.07113280849
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.65",1291.35103148085
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.7",1304.77624795506
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.75",1314.93596412455
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.8",1325.84297915057
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.85",1336.78642945467
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.9",1352.24670084756
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.95",1372.13328581
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.975",1387.05136092048
2024-10-23,"ARI incidence",2024-10-06,-1,"BE","quantile","0.99",1395.93363830775
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.01",600.279562691082
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.025",601.388489950514
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.05",602.821383565317
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.1",603.893419958863
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.15",604.491353394025
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.2",606.074023848197
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.25",607.247757299035
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.3",608.119756349396
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.35",610.135392373248
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.4",611.03068005043
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.45",611.894303227811
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.5",612.746729869476
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.55",614.601167477694
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.6",615.309933793553
2024-10-23,"ARI incidence",2024-10-06,-1,"BG","quantile","0.65",616.561623716399
